,Name,IP,H,H2,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,WPA,aLI,RE24,GameDate,interceptRow,ageGap,ages,targets
119205,guzmaju01,4.0,2,2,1,0,1,3,0,2.29,16,77,50,33,9,8,6,6,1,0,58,0.1,0.88,1.0,1992-08-30,1.0,1966-10-28,8154,0.0
41872,mcdowja01,6.2,4,4,3,2,5,3,1,4.16,29,137,80,47,12,21,10,11,5,0,54,0.038,0.84,0.5,1995-06-13,1.0,1966-01-16,9279,0.0
55159,vazquja01,7.0,5,5,2,2,1,7,0,2.57,28,98,65,37,13,15,4,15,4,0,65,0.082,1.11,1.9,2006-04-08,1.0,1976-07-25,9373,0.0
7411,maddugr01,7.0,7,7,2,2,1,3,2,2.45,28,78,52,34,2,16,17,6,4,0,57,0.232,0.98,1.7,1997-07-17,1.0,1966-04-14,9864,0.0
89851,harenda01,3.0,7,7,4,4,3,4,1,3.87,18,74,42,23,7,12,2,9,5,0,30,-0.284,1.09,-2.6,2015-09-13,1.0,1980-09-17,11041,0.0
102515,roarkta01,6.1,11,11,4,4,0,4,1,2.91,28,92,60,37,5,18,10,14,6,0,39,-0.307,1.12,-1.8,2014-08-31,1.0,1986-10-05,8805,0.0
39046,kennejo04,3.0,2,2,2,2,3,2,1,3.63,14,54,28,17,3,8,3,6,2,0,46,-0.034,0.89,-0.2,2004-06-04,1.0,1979-05-24,7899,0.0
77141,cobbal01,6.0,9,9,4,3,0,1,2,4.09,25,89,60,41,9,10,14,10,5,0,41,-0.1,0.99,-0.8,2016-09-08,1.0,1987-10-07,9127,0.0
10889,sutclri01,8.0,4,4,0,0,1,4,0,4.19,29,91,61,39,4,18,8,16,2,0,77,0.427,1.24,3.5,1992-06-05,1.0,1956-06-21,11346,0.0
79611,hillri01,1.1,7,7,7,7,2,1,0,7.0,13,50,31,16,3,12,4,6,2,0,11,-0.46,1.08,-6.5,2005-08-05,1.0,1980-03-11,8016,0.0
123971,lannajo01,5.0,7,7,5,4,0,3,2,5.23,22,83,51,32,5,14,10,9,5,0,38,-0.294,0.7,-2.6,2010-08-24,1.0,1984-09-27,8175,0.0
62674,scanlbo01,5.0,4,4,2,1,1,6,1,4.28,20,91,56,33,6,17,6,7,3,0,58,0.108,0.91,1.0,1994-06-10,1.0,1966-08-09,8784,0.0
65678,rodriwa01,5.0,7,7,3,3,0,4,0,3.58,22,99,59,40,8,11,9,9,3,0,45,-0.053,1.08,-0.7,2013-05-26,1.0,1979-01-18,10840,0.0
45630,glavito02,5.2,6,6,2,2,3,3,0,3.38,26,90,58,35,6,17,9,11,5,0,49,0.035,1.11,0.3,1995-05-03,1.0,1966-03-25,9185,0.0
106790,matzety01,7.0,8,8,2,2,2,7,1,5.14,28,90,56,33,9,14,12,7,7,0,58,0.202,1.3,0.9,2014-08-25,1.0,1990-10-19,7526,0.0
53168,pichahi01,6.0,9,9,2,2,1,1,0,4.15,27,96,58,37,4,17,12,13,7,0,46,0.107,1.32,1.4,1993-06-04,1.0,1969-08-22,7505,0.0
116209,helliri01,6.2,6,6,2,2,3,8,1,8.31,29,123,74,33,14,27,6,11,5,0,59,0.091,0.8,1.5,2001-04-22,1.0,1970-12-15,9578,0.0
76769,nunovi01,5.0,8,8,4,3,2,5,0,5.42,24,89,56,29,7,20,6,10,4,0,40,-0.18,1.32,-1.1,2014-07-02,1.0,1987-07-26,8500,0.0
120784,brazede01,6.0,5,5,5,5,3,3,2,7.5,23,70,44,25,9,10,3,12,6,0,42,-0.184,0.68,-1.6,2002-09-13,1.0,1980-06-16,7019,0.0
73261,sandesc01,1.2,7,7,6,4,1,2,1,5.57,13,58,35,24,4,7,2,8,3,0,22,-0.387,0.75,-5.5,1992-06-10,1.0,1956-07-22,11324,0.0
23907,daviswa01,7.1,4,4,0,0,3,4,0,5.5,28,101,61,35,7,19,8,13,4,0,71,0.471,1.32,3.5,2013-07-27,1.0,1985-09-07,8799,0.0
69431,pavanca01,5.2,8,8,4,4,1,7,1,5.1,26,93,65,38,12,15,6,12,4,0,43,0.096,0.57,-0.9,2009-10-04,1.0,1976-01-08,10647,0.0
293,finlech01,6.2,6,6,4,4,4,7,1,3.01,30,123,73,36,16,21,8,11,3,0,49,0.035,1.37,1.2,1998-08-18,1.0,1962-11-26,11274,0.0
2833,wilsocj01,5.0,9,9,6,6,0,4,2,3.7,24,99,64,36,6,22,7,13,5,0,29,-0.267,0.99,-3.8,2014-06-24,1.0,1980-11-18,10602,0.0
69504,jimenub01,8.0,8,8,1,1,2,4,0,1.15,29,110,63,42,2,19,12,11,7,0,64,0.35,0.9,2.9,2010-06-17,1.0,1984-01-22,8331,0.0
27520,zambrca01,7.0,5,5,1,1,3,3,0,3.5,31,110,63,38,6,19,15,9,1,0,63,0.313,1.71,2.7,2009-07-03,1.0,1981-06-01,8863,0.0
15652,cormirh01,8.0,4,4,1,1,3,5,1,3.19,29,105,62,36,10,16,13,8,3,0,72,0.235,0.74,3.7,1995-08-10,1.0,1967-04-23,8930,0.0
52490,gallayo01,4.2,8,8,2,2,2,4,1,3.42,24,87,48,29,5,14,9,9,1,0,42,0.115,0.98,0.1,2015-09-25,1.0,1986-02-27,9332,0.0
81828,darliro01,2.0,5,5,5,5,1,0,0,4.45,12,48,30,23,2,5,4,6,0,0,25,-0.293,1.11,-3.6,1992-06-27,1.0,1960-08-19,10052,0.0
112818,mechegi01,8.0,3,3,1,1,1,8,0,4.39,29,111,73,42,14,17,10,9,3,0,79,0.44,1.2,3.4,2006-09-01,1.0,1978-09-08,8830,0.0
39417,youngch03,5.0,7,7,1,1,2,1,0,3.57,22,99,62,43,5,14,5,14,6,0,48,0.124,1.23,1.5,2006-07-29,1.0,1979-05-25,8576,0.0
82333,boskish01,5.1,8,8,6,6,1,6,1,5.37,25,85,58,32,8,18,7,11,4,0,33,-0.192,0.48,-2.4,1995-09-20,1.0,1967-03-28,8988,0.0
27487,maholpa01,4.0,7,7,7,7,3,2,1,4.11,23,93,59,40,5,14,6,12,5,0,19,-0.604,1.19,-4.9,2009-05-25,1.0,1982-06-25,8493,0.0
23181,jakubch01,8.0,2,2,2,2,1,4,0,5.23,27,88,59,41,5,13,10,12,2,0,73,0.145,0.76,2.6,2009-04-28,1.0,1978-12-22,9577,0.0
